epoch,lr,train_loss,train_recon,train_velocity,train_commit,train_perplexity,val_loss,val_recon,val_velocity,val_commit,val_perplexity,epoch_sec
1,0.0002,0.4331270933151245,0.4200545191764832,0.025430214032530783,0.017873219167813658,59.76596109867096,0.423189640045166,0.41041436791419983,0.02541087009012699,0.0034913914278149605,2.9643728733062744,10.387494402999437
2,0.0002,0.42733211517333985,0.41459550261497496,0.025409308075904847,0.001597704237792641,5.770150566101075,0.4275359809398651,0.4146450161933899,0.02575692906975746,0.0006244400865398347,8.221466064453125,6.350640185999509
3,0.0002,0.42628063559532164,0.4135624527931213,0.025422606617212296,0.0003441355365794152,8.3400128364563,0.42226094007492065,0.40965211391448975,0.025203604251146317,0.00035176414530724287,7.734519958496094,6.136945697002375
4,0.0002,0.4248259782791138,0.41212157607078553,0.025394904240965844,0.00034697864903137087,8.864146041870118,0.42214804887771606,0.40918973088264465,0.02587907947599888,0.000939433928579092,9.124107360839844,5.8286445410012675
5,0.0002,0.42221214175224303,0.40941877365112306,0.02545795254409313,0.0032199433306232096,10.115568733215332,0.4156327545642853,0.40292906761169434,0.02535785734653473,0.0012378065148368478,10.649943351745605,5.835659246997238
6,0.0002,0.416867333650589,0.40413968563079833,0.025360030680894853,0.0023816819302737713,19.495856475830077,0.4096885621547699,0.3967280387878418,0.025832822546362877,0.002205013995990157,23.124740600585938,5.8100001480015635
7,0.0002,0.40942302942276,0.39663602113723756,0.02540225312113762,0.004294338473118842,25.151441192626955,0.4026942849159241,0.3898222744464874,0.025280684232711792,0.01158419344574213,23.56575584411621,5.986524157997337
8,0.0002,0.39928985238075254,0.3864315688610077,0.02552330940961838,0.004831356415525079,39.56611671447754,0.3920484483242035,0.37919750809669495,0.025619229301810265,0.002066795015707612,56.60943603515625,5.96347982700172
9,0.0002,0.3918840825557709,0.3791440725326538,0.025403781235218047,0.0019059046637266875,64.34511947631836,0.38535773754119873,0.37266623973846436,0.02532939799129963,0.0013399558374658227,76.35633850097656,5.007784798999637
10,0.0002,0.3892922878265381,0.3764865636825562,0.025548101961612703,0.0015837707789614797,79.15969543457031,0.3827607333660126,0.370015025138855,0.025427961722016335,0.0015875663375481963,88.94710540771484,5.3614285820003715
11,0.0002,0.3864191770553589,0.37366899847984314,0.02543966919183731,0.0015172916930168868,88.70550689697265,0.3831944763660431,0.37049269676208496,0.025333505123853683,0.0017515402287244797,95.77618408203125,5.125557660998311
12,0.0002,0.3836770474910736,0.3708984851837158,0.025482064485549925,0.0018762155901640653,98.59807586669922,0.37796127796173096,0.36530083417892456,0.025241130962967873,0.0019937963224947453,107.23079681396484,5.233861155997147
13,0.0002,0.3801426291465759,0.3673684895038605,0.025459708645939827,0.0022139863576740026,107.24265594482422,0.373055636882782,0.36029139161109924,0.025436893105506897,0.002289579017087817,109.34996032714844,4.973342235000018
14,0.0002,0.3747082531452179,0.3619734525680542,0.02534882165491581,0.003019640268757939,107.05728149414062,0.3670877516269684,0.35436034202575684,0.02529073879122734,0.004102832172065973,104.60185241699219,5.58153618399956
