trial_name,stage,batch_size,code_num,best_val_loss,mse_all,mae_all,rot_geod_deg_mean,trans_rmse,mpjpe_mm,mpjpe_pa_mm,trans_vel_rmse
codebook_sweep_bs4096_code1536,codebook_sweep,4096,1536,0.2617357671260834,0.018469166941940784,0.06695170551538468,8.360368633270264,0.001527710387017578,37.01510772705078,36.84056358337402,0.00035276835842523724
codebook_sweep_bs4096_code1024,codebook_sweep,4096,1024,0.2684747874736786,0.019392958655953408,0.06897629350423813,8.567698669433593,0.001518507394939661,33.613504028320314,32.895094299316405,0.00035527130821719763
codebook_sweep_bs4096_code768,codebook_sweep,4096,768,0.2737764418125152,0.02157325707376003,0.0720551572740078,8.920427703857422,0.0015509141376242042,38.03875160217285,37.45287933349609,0.0003558542346581817
batch_sweep_bs4096_code512,batch_sweep,4096,512,0.2785678505897522,0.02158783785998821,0.07212141528725624,8.95019998550415,0.0015491773607209324,35.920026016235354,35.360494232177736,0.000358863064320758
codebook_sweep_bs4096_code512,codebook_sweep,4096,512,0.2791029810905456,0.020106883160769938,0.07131981626152992,8.880429077148438,0.0016223186627030372,34.96464157104492,34.71728630065918,0.00035955572384409605
batch_sweep_bs3072_code512,batch_sweep,3072,512,0.2798714637756347,0.021380012296140193,0.07239504083991051,9.012274551391602,0.0015889764297753572,40.30516510009765,39.75688362121582,0.0003569645487004891
batch_sweep_bs2048_code512,batch_sweep,2048,512,0.2803815305233001,0.021056407131254673,0.0712925523519516,9.003697204589844,0.0015753602143377065,33.02489395141602,32.66866340637207,0.0003590211272239685
batch_sweep_bs1024_code512,batch_sweep,1024,512,0.2813961907886247,0.02165002655237913,0.07277987524867058,8.98509521484375,0.0015773721737787128,36.708344268798825,36.360381317138675,0.00035591970663517714
batch_sweep_bs5120_code512,batch_sweep,5120,512,0.2848633825778961,0.02394082471728325,0.07409304901957511,9.152045917510986,0.00151801094179973,35.52249755859375,35.13020133972168,0.0003569446038454771
codebook_sweep_bs4096_code256,codebook_sweep,4096,256,0.2940890491008758,0.02124721147119999,0.07174096256494522,9.020072174072265,0.0016086670802906156,37.197716903686526,36.811149215698244,0.0003631613857578486
