trial_name,stage,batch_size,code_num,best_val_loss,clip_idx,file,start,tokens,mse_all,mae_all,trans_rmse,trans_mae,rot_geod_deg_mean,rot_geod_deg_p95,root_geod_deg_mean,bodyhands_geod_deg_mean,pose_axisangle_mse,betas_mae,trans_vel_rmse,mpjpe_mm,mpjpe_pa_mm
codebook_sweep_bs4096_code1536,codebook_sweep,4096,1536,0.2617357671260834,1,doMosV-zfCI_22-2-rgb_front.pkl,38,16,0.023739024996757507,0.07553432136774063,0.0016415596473962069,0.0012739603407680988,8.996001243591309,31.69603157043457,3.9572033882141113,9.09480094909668,0.019263768568634987,0.18619632720947266,0.00033734197495505214,42.8701286315918,42.326904296875
codebook_sweep_bs4096_code1536,codebook_sweep,4096,1536,0.2617357671260834,2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,16,0.020788831636309624,0.06858217716217041,0.0014795995084568858,0.001147894887253642,8.667655944824219,30.5747127532959,7.834587574005127,8.683990478515625,0.020007845014333725,0.12230455875396729,0.00039104363531805575,51.332786560058594,51.232460021972656
codebook_sweep_bs4096_code1536,codebook_sweep,4096,1536,0.2617357671260834,3,23YW07EXh34_6-5-rgb_front.pkl,28,16,0.0196197759360075,0.06402146071195602,0.0012931291712448,0.0010213431669399142,8.409732818603516,32.606422424316406,2.725045919418335,8.521197319030762,0.020515087991952896,0.07121824473142624,0.0002827620191965252,30.30732536315918,29.997188568115234
codebook_sweep_bs4096_code1536,codebook_sweep,4096,1536,0.2617357671260834,4,F0CLgejV5_k_0-5-rgb_front.pkl,14,16,0.0160756204277277,0.07051946222782135,0.002266696887090802,0.0016890260158106685,8.646215438842773,26.89744758605957,4.929886817932129,8.719083786010742,0.015759970992803574,0.11669125407934189,0.000536950072273612,34.46428680419922,34.82680130004883
codebook_sweep_bs4096_code1536,codebook_sweep,4096,1536,0.2617357671260834,5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,16,0.012122581712901592,0.056101106107234955,0.0009575667208991945,0.000734571076463908,7.082237720489502,24.235111236572266,3.184123992919922,7.158672332763672,0.012470877729356289,0.06977871805429459,0.00021574409038294107,26.101011276245117,25.8194637298584
codebook_sweep_bs4096_code1024,codebook_sweep,4096,1024,0.2684747874736786,1,doMosV-zfCI_22-2-rgb_front.pkl,38,16,0.02486739680171013,0.07874719053506851,0.001638050889596343,0.0012605652445927262,9.252299308776855,30.027299880981445,4.349189758300781,9.348438262939453,0.019726190716028214,0.19787639379501343,0.0003515241260174662,41.48344421386719,41.08039474487305
codebook_sweep_bs4096_code1024,codebook_sweep,4096,1024,0.2684747874736786,2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,16,0.01846305839717388,0.06747524440288544,0.0013971533626317978,0.0010796504793688655,8.682835578918457,29.823604583740234,4.823403835296631,8.758509635925293,0.01912933960556984,0.08550908416509628,0.0003960964677389711,41.22149658203125,41.14076614379883
codebook_sweep_bs4096_code1024,codebook_sweep,4096,1024,0.2684747874736786,3,23YW07EXh34_6-5-rgb_front.pkl,28,16,0.02137250080704689,0.06868642568588257,0.0012672418961301446,0.001016791327856481,8.802956581115723,34.375850677490234,2.1376852989196777,8.933648109436035,0.021857060492038727,0.10109502077102661,0.00027802831027656794,23.330612182617188,23.094112396240234
codebook_sweep_bs4096_code1024,codebook_sweep,4096,1024,0.2684747874736786,4,F0CLgejV5_k_0-5-rgb_front.pkl,14,16,0.019099270924925804,0.07178358733654022,0.002287818118929863,0.0017122402787208557,8.652721405029297,27.00569725036621,2.4385883808135986,8.774567604064941,0.01650819182395935,0.1657189428806305,0.0005351164727471769,34.78049087524414,32.067562103271484
codebook_sweep_bs4096_code1024,codebook_sweep,4096,1024,0.2684747874736786,5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,16,0.013162566348910332,0.058189019560813904,0.0010022727074101567,0.0007659154944121838,7.447680473327637,27.070497512817383,3.6827926635742188,7.521501541137695,0.013718876987695694,0.06164846941828728,0.00021559116430580616,27.251476287841797,27.092636108398438
codebook_sweep_bs4096_code768,codebook_sweep,4096,768,0.2737764418125152,1,doMosV-zfCI_22-2-rgb_front.pkl,38,16,0.027404068037867546,0.08225017040967941,0.0016608003061264753,0.0012918784050270915,9.682374954223633,29.801305770874023,7.377469062805176,9.727568626403809,0.020113248378038406,0.20478367805480957,0.00034001076710410416,52.40580749511719,51.97288131713867
codebook_sweep_bs4096_code768,codebook_sweep,4096,768,0.2737764418125152,2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,16,0.020917003974318504,0.06945379823446274,0.0014078038511797786,0.0010644776048138738,9.124914169311523,31.329307556152344,4.7831034660339355,9.210046768188477,0.021985583007335663,0.07299134880304337,0.0003960120084229857,37.735191345214844,37.73078918457031
codebook_sweep_bs4096_code768,codebook_sweep,4096,768,0.2737764418125152,3,23YW07EXh34_6-5-rgb_front.pkl,28,16,0.020998410880565643,0.06704820692539215,0.0012708904687315226,0.000995516194961965,8.76015567779541,36.42999267578125,2.368882179260254,8.88547420501709,0.022075682878494263,0.07547934353351593,0.0002881406689994037,30.40509605407715,30.12563133239746
codebook_sweep_bs4096_code768,codebook_sweep,4096,768,0.2737764418125152,4,F0CLgejV5_k_0-5-rgb_front.pkl,14,16,0.025283198803663254,0.08272884041070938,0.002430517924949527,0.0018145464127883315,9.604393005371094,32.002105712890625,3.3058183193206787,9.72789478302002,0.020347267389297485,0.20081500709056854,0.0005365203833207488,37.418540954589844,35.48870849609375
codebook_sweep_bs4096_code768,codebook_sweep,4096,768,0.2737764418125152,5,1NSanqJ8AS4_3-5-rgb_front.pkl,71,16,0.013263603672385216,0.0587947703897953,0.0009845581371337175,0.0007785532507114112,7.430300712585449,25.76251792907715,3.7642476558685303,7.50218391418457,0.013553445227444172,0.07931536436080933,0.00021858734544366598,32.229122161865234,31.946386337280273
batch_sweep_bs4096_code512,batch_sweep,4096,512,0.2785678505897522,1,doMosV-zfCI_22-2-rgb_front.pkl,38,16,0.024453580379486084,0.07662511616945267,0.0016304276650771499,0.0012785649159923196,9.096233367919922,32.33264923095703,5.138210773468018,9.173842430114746,0.019565662369132042,0.18860596418380737,0.0003422686131671071,41.75492477416992,41.274349212646484
batch_sweep_bs4096_code512,batch_sweep,4096,512,0.2785678505897522,2,-CmdMw3PKV8_0-8-rgb_front.pkl,51,16,0.022368498146533966,0.07179571688175201,0.0014291664119809866,0.001101059140637517,9.31502914428711,31.208026885986328,4.661403656005859,9.406277656555176,0.023024974390864372,0.09958435595035553,0.0003944135387428105,38.40797805786133,38.38376998901367
