model_type,model_label,trial_name,stage,batch_size,code_num,best_val_loss,mse_all,mae_all,rot_geod_deg_mean,trans_rmse,mpjpe_mm,mpjpe_pa_mm,trans_vel_rmse
raw,ENC-DEC RAW,RAW_BASELINE,raw,,,,0.03055756501853466,0.0860009804368019,10.687090110778808,0.21133391484618186,360.2427673339844,34.30695114135742,0.01840239204466343
trial,ENC-DEC T1: bs4096 c1536,codebook_sweep_bs4096_code1536,codebook_sweep,4096.0,1536.0,0.2617357671260834,0.018246881663799286,0.06667519360780716,8.301322269439698,0.001534877612721175,37.216386032104495,37.05795555114746,0.000353399699088186
trial,ENC-DEC T2: bs4096 c1024,codebook_sweep_bs4096_code1024,codebook_sweep,4096.0,1024.0,0.2684747874736786,0.01944491043686867,0.06898472607135772,8.615213203430176,0.0015157300513237715,32.74680099487305,32.02629203796387,0.00035457804915495217
trial,ENC-DEC T3: bs4096 c768,codebook_sweep_bs4096_code768,codebook_sweep,4096.0,768.0,0.2737764418125152,0.021227116137742995,0.0717632845044136,8.874011516571045,0.0015471258433535696,38.0718189239502,37.4847412109375,0.00035393703146837654
trial,ENC-DEC T4: bs4096 c512,batch_sweep_bs4096_code512,batch_sweep,4096.0,512.0,0.2785678505897522,0.021620484255254268,0.07216384187340737,8.932187271118163,0.001547848724294454,35.99942207336426,35.46882972717285,0.0003587451239582151
trial,ENC-DEC T5: bs4096 c512,codebook_sweep_bs4096_code512,codebook_sweep,4096.0,512.0,0.2791029810905456,0.02009724620729685,0.0713106594979763,8.88196840286255,0.0016220410820096732,34.98155403137207,34.73537635803223,0.0003595692658564076
trial,ENC-DEC T6: bs3072 c512,batch_sweep_bs3072_code512,batch_sweep,3072.0,512.0,0.2798714637756347,0.021078429743647577,0.07195762023329735,8.970513248443604,0.0015888090478256346,40.63814239501953,40.12734870910644,0.0003576842485927045
trial,ENC-DEC T7: bs2048 c512,batch_sweep_bs2048_code512,batch_sweep,2048.0,512.0,0.2803815305233001,0.02128177471458912,0.0716539315879345,9.047933387756348,0.0015758330700919032,33.162231826782225,32.81189956665039,0.0003579498792532831
trial,ENC-DEC T8: bs1024 c512,batch_sweep_bs1024_code512,batch_sweep,1024.0,512.0,0.2813961907886247,0.0216442059725523,0.0727706328034401,8.984204864501953,0.0015764873940497636,36.728227615356445,36.37813606262207,0.0003561007062671706
trial,ENC-DEC T9: bs5120 c512,batch_sweep_bs5120_code512,batch_sweep,5120.0,512.0,0.2848633825778961,0.02427224088460207,0.0742320291697979,9.163645935058593,0.0015165326069109142,35.760841369628906,35.33429222106933,0.000357290476677008
trial,ENC-DEC T10: bs4096 c256,codebook_sweep_bs4096_code256,codebook_sweep,4096.0,256.0,0.2940890491008758,0.021248117834329606,0.07174214124679565,9.021014595031739,0.001608427707105875,37.18800811767578,36.80237808227539,0.00036310136783868074
