epoch,train_loss,train_recon,train_velocity,train_commit,train_perplexity,val_loss,val_recon,val_velocity,val_commit,val_perplexity,lr,epoch_sec,best_val_so_far
1,0.4078286786874135,0.39427649974823,0.027075620368123055,0.0007186083433528742,113.1303316752116,0.4054267704486847,0.3922744393348694,0.026270097121596336,0.0008636179845780134,15.400530815124512,0.0001,7.302529119999235,0.4054267704486847
2,0.40600446859995526,0.39253227909406024,0.02688292662302653,0.001536427434378614,9.645614941914877,0.4041091799736023,0.39091163873672485,0.026249198243021965,0.003647433128207922,6.759092807769775,0.0001,4.304393464000896,0.4041091799736023
3,0.4037407338619232,0.3901134232680003,0.027093172694245975,0.004036875053619345,15.261904875437418,0.4008961021900177,0.38754627108573914,0.02661210112273693,0.0021895982790738344,28.035451889038086,0.0001,3.8966643949988793,0.4008961021900177
4,0.3987736900647481,0.38514283299446106,0.02711992897093296,0.003544427299251159,23.639504114786785,0.3952051103115082,0.38175538182258606,0.026545055210590363,0.008860106579959393,15.903051376342773,0.0001,4.115636884000196,0.3952051103115082
5,0.39329155286153156,0.37964412569999695,0.027023418496052425,0.006785364588722587,20.563392003377277,0.3877095580101013,0.37449294328689575,0.026332272216677666,0.0025238103698939085,29.208820343017578,0.0001,3.9308759960003954,0.3877095580101013
6,0.38826946417490643,0.37466463446617126,0.027073896179596584,0.0033942859154194593,31.878978093465168,0.38519999384880066,0.37190473079681396,0.02644846960902214,0.0035514342598617077,40.85369110107422,0.0001,3.55843076400015,0.38519999384880066
7,0.38461989164352417,0.37096380194028217,0.027158222471674282,0.003848674319063624,43.186841328938804,0.38051745295524597,0.367142915725708,0.026623321697115898,0.003143584355711937,48.53392791748047,0.0001,3.6936087329995644,0.38051745295524597
8,0.3799190819263458,0.3662545382976532,0.027064018572370212,0.006626874363670747,40.088932037353516,0.3771640956401825,0.36353394389152527,0.026692580431699753,0.014193891547620296,32.1411247253418,0.0001,3.713272727000003,0.3771640956401825
9,0.37601391474405926,0.36232667167981464,0.02701481431722641,0.008991520230968794,42.92910067240397,0.37038180232048035,0.35706380009651184,0.026492509990930557,0.0035871376749128103,67.52106475830078,0.0001,3.7773592459998326,0.37038180232048035
10,0.3721924424171448,0.3585936824480693,0.027034812917311985,0.0040673633726934595,69.92394765218098,0.3685101270675659,0.3552289307117462,0.02635733224451542,0.005125833209604025,71.8297119140625,0.0001,3.443451332999757,0.3685101270675659
