experiment,model_variant,dilation_schedule,optimizer,epoch,train_loss,train_recon,train_vel,train_commit,train_perplexity,val_loss,val_recon,val_vel,val_commit,val_perplexity,epoch_sec,profile
dilation_up__adamw,dilation_up,1 -> 3 -> 9,adamw,1,0.40810437003771466,0.39461301763852435,0.026951356480518978,0.0007837422502537569,141.68111928304037,0.405478835105896,0.39230260252952576,0.02631230838596821,0.001003640703856945,9.479324340820312,4.712920427322388,full
dilation_up__adamw,dilation_up,1 -> 3 -> 9,adamw,2,0.4053198993206024,0.3918028076489766,0.026953592896461487,0.0020153208946188292,6.653774420420329,0.4026668667793274,0.38947075605392456,0.02622942440211773,0.004069992806762457,6.282734394073486,2.307749032974243,full
dilation_up__adamw,dilation_up,1 -> 3 -> 9,adamw,3,0.4029284417629242,0.3893270194530487,0.027057113125920296,0.0036428008073319993,11.592649300893148,0.3976436257362366,0.3843747675418854,0.026392435654997826,0.0036314930766820908,14.853117942810059,2.4265315532684326,full
dilation_up__adamw,dilation_up,1 -> 3 -> 9,adamw,4,0.39730175336201984,0.3835435112317403,0.027159621939063072,0.008921697114904722,12.941106478373209,0.39145341515541077,0.37813636660575867,0.026424601674079895,0.005237347446382046,14.300204277038574,2.3110179901123047,full
dilation_up__adamw,dilation_up,1 -> 3 -> 9,adamw,5,0.3909795780976613,0.37740198771158856,0.026950547471642494,0.00511539572228988,13.590624809265137,0.38636383414268494,0.37313973903656006,0.026255421340465546,0.004818458575755358,17.875062942504883,2.4424855709075928,full
dilation_up__adamw,dilation_up,1 -> 3 -> 9,adamw,6,0.3858228127161662,0.37210968136787415,0.027144516507784527,0.007043992169201374,21.94207763671875,0.379404217004776,0.36607447266578674,0.026469910517334938,0.004740238189697266,29.262107849121094,2.3043878078460693,full
dilation_up__adamw,dilation_up,1 -> 3 -> 9,adamw,7,0.3780384957790375,0.3644493818283081,0.026948881645997364,0.005733796705802281,30.934978485107422,0.37330520153045654,0.3601072132587433,0.02625878155231476,0.0034302263520658016,43.520347595214844,2.354964256286621,full
dilation_up__adamw,dilation_up,1 -> 3 -> 9,adamw,8,0.37381495038668316,0.3602117598056793,0.027055182804663975,0.0037794679713745913,45.98429616292318,0.3711506128311157,0.3578152060508728,0.026531152427196503,0.0034906042274087667,51.86368942260742,2.434924364089966,full
dilation_up__adamw,dilation_up,1 -> 3 -> 9,adamw,9,0.37092146277427673,0.3572633961836497,0.027151125793655712,0.004125517172118028,56.27488454182943,0.37073835730552673,0.35739752650260925,0.02655823342502117,0.0030867333989590406,61.98749542236328,2.3050577640533447,full
dilation_up__adamw,dilation_up,1 -> 3 -> 9,adamw,10,0.36899255712827045,0.35535910725593567,0.027152298018336296,0.0028654187141607204,65.48302205403645,0.3663043975830078,0.3530248701572418,0.02645972929894924,0.002482758602127433,66.41132354736328,1.4534616470336914,full
dilation_up__adamw,dilation_up,1 -> 3 -> 9,adamw,11,0.3676207661628723,0.3540520866711934,0.027028178175290424,0.0027294584239522615,73.15805562337239,0.367377370595932,0.35410618782043457,0.026440531015396118,0.002547152806073427,77.69832611083984,2.3123226165771484,full
dilation_up__adamw,dilation_up,1 -> 3 -> 9,adamw,12,0.3675599197546641,0.35398943225542706,0.027040123318632443,0.0025206669233739376,83.40387217203777,0.36810776591300964,0.354696661233902,0.02673640474677086,0.002145680133253336,85.02217864990234,2.450460910797119,full
dilation_up__adamw,dilation_up,1 -> 3 -> 9,adamw,13,0.36622071266174316,0.352631539106369,0.02708396439750989,0.0023597038040558496,92.45155588785808,0.36564338207244873,0.3523889482021332,0.02641254849731922,0.0024083019234240055,98.33114624023438,2.3188669681549072,full
dilation_up__adamw,dilation_up,1 -> 3 -> 9,adamw,14,0.3663625915845235,0.35273422797520954,0.02715271587173144,0.0026003208477050066,102.05710093180339,0.3636884391307831,0.3504393994808197,0.026403939351439476,0.002353575313463807,100.38416290283203,2.486895799636841,full
dilation_up__adamw,dilation_up,1 -> 3 -> 9,adamw,15,0.3654264310995738,0.35183735688527423,0.02707449160516262,0.0025918669222543636,104.10640462239583,0.36615586280822754,0.3529002070426941,0.02640107087790966,0.0027559988666325808,104.25447845458984,2.3652725219726562,full
dilation_up__adamw,dilation_up,1 -> 3 -> 9,adamw,16,0.3646160860856374,0.3509978950023651,0.02711198975642522,0.003109269387399157,106.64338684082031,0.3633071482181549,0.3498676121234894,0.026747146621346474,0.0032978877425193787,103.48040771484375,2.320200204849243,full
