optimizer,epoch,train_loss,train_recon,train_vel,train_commit,train_perplexity,val_loss,val_recon,val_vel,val_commit,val_perplexity,epoch_sec,profile
adamw,1,0.40800007184346515,0.39443011085192364,0.027097512657443684,0.0010599428205750883,135.95335133870444,0.40230146050453186,0.3892168402671814,0.02613695338368416,0.0008075226796790957,21.74763298034668,6.250057854999795,full
adamw,2,0.4061349232991536,0.3926200866699219,0.026975761478145916,0.0013478759210556746,15.024789810180664,0.4036547839641571,0.390440970659256,0.026274463161826134,0.0038301728200167418,10.185874938964844,3.0701123859998916,full
adamw,3,0.40417908628781635,0.3905733625094096,0.027020400390028954,0.0047763048981626826,13.86532211303711,0.39835163950920105,0.3851534426212311,0.02626010775566101,0.0034077325835824013,21.368539810180664,3.2951762760003476,full
adamw,4,0.39804933468500775,0.3844376504421234,0.02706769232948621,0.003891882641861836,22.314364115397137,0.39268583059310913,0.37925249338150024,0.026507288217544556,0.0089858528226614,18.036413192749023,2.9861354049999136,full
adamw,5,0.39085596799850464,0.377096563577652,0.02698710560798645,0.013292557870348295,16.621675491333008,0.38215750455856323,0.3685649335384369,0.026751309633255005,0.010844825766980648,25.98653221130371,3.1309189030007474,full
adamw,6,0.3806200126806895,0.3668101926644643,0.02702491357922554,0.014867582047979036,27.63578923543294,0.3719515800476074,0.35867539048194885,0.02623053267598152,0.008046788163483143,44.576385498046875,3.3367071009997744,full
adamw,7,0.3739120364189148,0.36021236578623456,0.027046140904227894,0.00883008741463224,48.70785395304362,0.3720256984233856,0.3587246239185333,0.026322655379772186,0.006986414548009634,55.114654541015625,3.062571256999945,full
adamw,8,0.3713080883026123,0.35749927163124084,0.027221446856856346,0.009904558149476847,56.258191426595054,0.3678928315639496,0.3546661138534546,0.026142477989196777,0.007774215657263994,67.03497314453125,3.2123502360000202,full
adamw,9,0.36856262882550556,0.35488306482632953,0.027044333517551422,0.00787001041074594,69.69507598876953,0.36548957228660583,0.3521376848220825,0.026350827887654305,0.00882302038371563,73.07112884521484,3.404762447000394,full
adamw,10,0.3644007742404938,0.35062800844510394,0.02701520174741745,0.013258731923997402,73.14558410644531,0.3615036904811859,0.34788158535957336,0.0265415757894516,0.0175661351531744,70.17022705078125,3.117395874999602,full
adamw,11,0.3593513071537018,0.3455076615015666,0.026961699749032658,0.01814027006427447,68.96573638916016,0.356107234954834,0.34253013134002686,0.026407362893223763,0.018670760095119476,63.96671676635742,3.258125024999572,full
adamw,12,0.3553333083788554,0.34119375546773273,0.0270594817896684,0.030490592122077942,60.51717631022135,0.3554036319255829,0.3413817584514618,0.02671242319047451,0.033282842487096786,67.03350067138672,3.0966091359996426,full
adamw,13,0.352841854095459,0.33884822328885394,0.026969654485583305,0.025439991305271786,68.78328450520833,0.3484722673892975,0.3350764811038971,0.026069270446896553,0.01805706135928631,78.99554443359375,3.0981262689992946,full
adamw,14,0.3475937048594157,0.33362919092178345,0.027018745119373005,0.022756994391481083,81.47350056966145,0.34358322620391846,0.32999905943870544,0.026258958503603935,0.022733962163329124,86.45964050292969,3.412242055999741,full
adamw,15,0.3432861864566803,0.3291264474391937,0.027221369246641796,0.027453286573290825,86.47196451822917,0.34030458331108093,0.32677942514419556,0.026094738394021988,0.023888932541012764,85.2646713256836,3.064525017000051,full
adamw,16,0.3410522937774658,0.3270951410134633,0.026860881596803665,0.026335811863342922,87.2774175008138,0.3389953672885895,0.32517459988594055,0.026625551283359528,0.025398317724466324,94.16923522949219,3.0197821780002414,full
adamw,17,0.33867838978767395,0.32473500569661456,0.026886099949479103,0.02501721183458964,97.19249979654948,0.3387821912765503,0.3252335786819458,0.026284871622920036,0.020308343693614006,110.18347930908203,3.178950264999912,full
adamw,18,0.33767566084861755,0.3237617115179698,0.02689521387219429,0.023316775759061176,108.57404327392578,0.33888599276542664,0.3253012001514435,0.026254139840602875,0.022885994985699654,110.09388732910156,3.4265176649996647,full
adamw,19,0.33659570415814716,0.32261893153190613,0.026972147946556408,0.02453516920407613,109.40011088053386,0.3366927206516266,0.32285618782043457,0.026751557365059853,0.02303752675652504,113.03827667236328,3.0177008950004165,full
adamw,20,0.3350679079691569,0.3211132287979126,0.02688557965060075,0.025594670325517654,111.36768849690755,0.3346952795982361,0.32095712423324585,0.026339171454310417,0.02842898666858673,111.58999633789062,3.429342219999853,full
adamw,21,0.3344617585341136,0.32028095920880634,0.026959205667177837,0.03505962466200193,109.380615234375,0.33359667658805847,0.31968072056770325,0.026338567957282066,0.03733327239751816,110.32685089111328,3.19492729600006,full
adamw,22,0.3340921898682912,0.3199766178925832,0.026874855781594913,0.033907451977332435,118.08206939697266,0.33362603187561035,0.31993725895881653,0.026350894942879677,0.025666214525699615,135.0877227783203,3.0904322180003874,full
adamw,23,0.3337326943874359,0.3197263876597087,0.02689597321053346,0.027915901814897854,135.4525146484375,0.334034264087677,0.3203105628490448,0.026338985189795494,0.02770967409014702,139.3994598388672,3.3304210699998293,full
adamw,24,0.332919309536616,0.3187746504942576,0.026926738520463307,0.03406516214211782,132.8802286783854,0.33431366086006165,0.32060858607292175,0.026074130088090897,0.03340033069252968,137.87969970703125,3.14169970400053,full
adamw,25,0.331981082757314,0.3177575965722402,0.026980347310503323,0.03666544829805692,138.94727579752603,0.33036524057388306,0.31665122509002686,0.026219597086310387,0.03021027334034443,149.21885681152344,3.16219093699965,full
adamw,26,0.3307391007741292,0.3166779577732086,0.026815840353568394,0.032661462823549904,147.86761474609375,0.3304116725921631,0.3166916072368622,0.026155998930335045,0.032103389501571655,153.00912475585938,3.1402143630002683,full
adamw,27,0.3304482003053029,0.31618566314379376,0.026991928617159527,0.03832870970169703,149.04365030924478,0.32897520065307617,0.31528669595718384,0.02601741999387741,0.03398986905813217,156.82162475585938,3.4272186109992617,full
adamw,28,0.3297402858734131,0.3156026204427083,0.026824285586675007,0.036275954296191536,155.5317179361979,0.329054594039917,0.31516507267951965,0.02637849748134613,0.035012584179639816,164.0894012451172,3.451949023000452,full
adamw,29,0.3286725382010142,0.3144547641277313,0.026926024506489437,0.03773806865016619,160.6898193359375,0.3284285068511963,0.31468862295150757,0.026005322113633156,0.036861028522253036,165.4983367919922,3.347239114000331,full
adamw,30,0.3280940353870392,0.31393304467201233,0.026792824889222782,0.038229177395502724,165.56920878092447,0.32791876792907715,0.31421327590942383,0.02599714882671833,0.035345904529094696,170.9230499267578,3.2118085720003364,full
adamw,31,0.32679786284764606,0.31261013944943744,0.026805561035871506,0.03924716139833132,167.36781311035156,0.3280928134918213,0.3140185475349426,0.026621894910931587,0.03816651552915573,171.38905334472656,3.288696274999893,full
adamw,32,0.32735608021418255,0.31305450201034546,0.026879430438081425,0.0430927537381649,166.0471394856771,0.3274233043193817,0.3135809004306793,0.026035549119114876,0.04123159125447273,168.92608642578125,3.3339226560001407,full
